feature,pearson_corr
B365D,0.016034407393475173
B365A,-0.002570735169316753
ratio_AD,-0.006859467959881666
B365H,-0.007633639807112853
ratio_1X,-0.008350543391444878
ratio_HD,-0.010207510580847654
spread_max_min,-0.015835205833837265
