bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.25–2.50,1,1.0,100.0,20.65,100.0,2.39,1.39,False
2.50–2.75,1,1.0,100.0,20.65,100.0,2.55,1.55,False
2.75–3.00,34,14.0,41.18,26.37,57.78,2.988,0.2303,True
3.00–3.25,694,204.0,29.39,26.13,32.89,3.202,-0.0588,True
3.25–3.50,2700,764.0,28.3,26.63,30.03,3.412,-0.0344,True
3.50–4.00,1686,417.0,24.73,22.73,26.85,3.726,-0.0784,True
4.00–5.00,263,47.0,17.87,13.71,22.95,4.402,-0.2134,True
5.00–6.00,18,6.0,33.33,16.28,56.25,5.431,0.8102,False
>6.00,5,2.0,40.0,11.76,76.93,7.0,1.8,False
