bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,389,64.0,16.45,13.1,20.46,1.251,7.013,0.1538,True
1.40–1.60,261,70.0,26.82,21.81,32.5,1.508,4.439,0.1905,True
1.60–1.80,337,83.0,24.63,20.33,29.5,1.707,3.938,-0.03,True
1.80–2.00,295,78.0,26.44,21.73,31.75,1.927,3.662,-0.0319,True
2.00–2.25,350,105.0,30.0,25.44,35.0,2.145,3.5,0.0501,True
2.25–2.50,313,85.0,27.16,22.53,32.34,2.395,3.436,-0.0668,True
2.50–3.00,387,110.0,28.42,24.16,33.11,2.766,3.454,-0.0183,True
3.00–4.00,346,91.0,26.3,21.94,31.18,3.485,3.656,-0.0384,True
4.00–5.00,123,31.0,25.2,18.36,33.55,4.568,4.055,0.0219,True
>5.00,259,39.0,15.06,11.21,19.92,8.337,5.377,-0.1903,True
