bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
≤2.25,1,1.0,100.0,20.65,100.0,2.0,1.0,False
2.75–3.00,167,62.0,37.13,30.16,44.67,2.981,0.1067,True
3.00–3.25,823,246.0,29.89,26.86,33.11,3.173,-0.0515,True
3.25–3.50,987,266.0,26.95,24.28,29.8,3.401,-0.0835,True
3.50–4.00,813,212.0,26.08,23.18,29.2,3.766,-0.018,True
4.00–5.00,431,78.0,18.1,14.75,22.01,4.548,-0.177,True
5.00–6.00,162,28.0,17.28,12.24,23.85,5.577,-0.036,True
>6.00,164,15.0,9.15,5.62,14.54,8.181,-0.2517,True
