bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.75–3.00,33,4.0,12.12,4.82,27.33,2.98,-0.6388,True
3.00–3.25,329,101.0,30.7,25.96,35.88,3.199,-0.0179,True
3.25–3.50,693,196.0,28.28,25.06,31.75,3.395,-0.0399,True
3.50–4.00,379,94.0,24.8,20.72,29.39,3.756,-0.0684,True
4.00–5.00,209,41.0,19.62,14.8,25.53,4.583,-0.101,True
5.00–6.00,130,22.0,16.92,11.45,24.3,5.648,-0.0442,True
>6.00,228,23.0,10.09,6.82,14.68,7.707,-0.2225,True
