bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,542,81.0,14.94,12.19,18.19,1.279,5.964,-0.1087,True
1.40–1.60,345,76.0,22.03,17.98,26.7,1.506,4.274,-0.0584,True
1.60–1.80,383,97.0,25.33,21.23,29.91,1.704,3.79,-0.0401,True
1.80–2.00,324,99.0,30.56,25.79,35.78,1.921,3.505,0.0711,True
2.00–2.25,359,118.0,32.87,28.21,37.89,2.15,3.366,0.1064,True
2.25–2.50,317,102.0,32.18,27.27,37.51,2.396,3.286,0.0572,True
2.50–3.00,407,128.0,31.45,27.13,36.12,2.784,3.281,0.0317,True
3.00–4.00,475,132.0,27.79,23.95,31.98,3.503,3.424,-0.0485,True
4.00–5.00,256,53.0,20.7,16.19,26.08,4.591,3.721,-0.2296,True
>5.00,389,79.0,20.31,16.61,24.59,7.21,4.493,-0.0875,True
