bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
≤2.25,1,0.0,0.0,0.0,79.35,1.95,-1.0,False
2.25–2.50,2,1.0,50.0,9.45,90.55,2.35,0.175,False
2.75–3.00,30,13.0,43.33,27.38,60.8,2.987,0.2942,True
3.00–3.25,486,137.0,28.19,24.37,32.35,3.202,-0.0975,True
3.25–3.50,1297,379.0,29.22,26.81,31.75,3.404,-0.0053,True
3.50–4.00,909,225.0,24.75,22.06,27.66,3.743,-0.0734,True
4.00–5.00,431,68.0,15.78,12.64,19.52,4.511,-0.2883,True
5.00–6.00,118,15.0,12.71,7.86,19.92,5.597,-0.2885,True
>6.00,77,7.0,9.09,4.47,17.6,7.38,-0.3291,True
