bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.75–3.00,2,0.0,0.0,0.0,65.76,3.0,-1.0,False
3.00–3.25,75,19.0,25.33,16.86,36.21,3.224,-0.1833,True
3.25–3.50,769,212.0,27.57,24.53,30.83,3.433,-0.0535,True
3.50–4.00,1017,257.0,25.27,22.7,28.03,3.771,-0.0469,True
4.00–5.00,564,131.0,23.23,19.93,26.89,4.56,0.0591,True
5.00–6.00,217,44.0,20.28,15.47,26.12,5.623,0.1402,True
>6.00,341,34.0,9.97,7.22,13.61,8.358,-0.1667,True
