bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,59,14.0,23.73,14.69,35.98,1.357,5.174,0.2278,True
1.40–1.60,237,56.0,23.63,18.67,29.43,1.532,4.22,-0.0029,True
1.60–1.80,610,147.0,24.1,20.87,27.65,1.723,3.8,-0.0844,True
1.80–2.00,764,187.0,24.48,21.56,27.65,1.922,3.576,-0.1248,True
2.00–2.25,909,251.0,27.61,24.81,30.61,2.156,3.438,-0.0508,True
2.25–2.50,813,226.0,27.8,24.83,30.98,2.397,3.376,-0.0615,True
2.50–3.00,1084,321.0,29.61,26.97,32.4,2.76,3.358,-0.0056,True
3.00–4.00,712,194.0,27.25,24.11,30.63,3.443,3.44,-0.0627,True
4.00–5.00,162,47.0,29.01,22.57,36.42,4.473,3.682,0.0684,True
>5.00,52,13.0,25.0,15.23,38.21,5.803,3.927,-0.0183,True
