bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.75–3.00,16,4.0,25.0,10.18,49.5,2.988,-0.2531,False
3.00–3.25,340,104.0,30.59,25.93,35.68,3.199,-0.0215,True
3.25–3.50,985,284.0,28.83,26.09,31.74,3.414,-0.0158,True
3.50–4.00,1131,261.0,23.08,20.72,25.62,3.774,-0.1291,True
4.00–5.00,680,141.0,20.74,17.86,23.94,4.501,-0.0666,True
5.00–6.00,319,51.0,15.99,12.37,20.41,5.615,-0.1023,True
>6.00,329,41.0,12.46,9.32,16.47,8.028,0.0005,True
