bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.50–2.75,29,9.0,31.03,17.28,49.23,2.716,-0.157,False
2.75–3.00,1145,379.0,33.1,30.44,35.88,2.95,-0.0234,True
3.00–3.25,1255,384.0,30.6,28.11,33.2,3.158,-0.0336,True
3.25–3.50,746,175.0,23.46,20.56,26.63,3.386,-0.2056,True
3.50–4.00,336,75.0,22.32,18.2,27.07,3.731,-0.1672,True
4.00–5.00,93,9.0,9.68,5.18,17.38,4.422,-0.572,True
5.00–6.00,8,2.0,25.0,7.15,59.07,5.594,0.3984,False
>6.00,3,0.0,0.0,0.0,56.15,7.0,-1.0,False
