bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.75–3.00,5,3.0,60.0,23.07,88.24,3.0,0.8,False
3.00–3.25,157,42.0,26.75,20.44,34.17,3.208,-0.1419,True
3.25–3.50,844,230.0,27.25,24.36,30.35,3.423,-0.0672,True
3.50–4.00,1029,279.0,27.11,24.49,29.91,3.773,0.0229,True
4.00–5.00,578,139.0,24.05,20.74,27.7,4.511,0.0847,True
5.00–6.00,197,31.0,15.74,11.31,21.47,5.609,-0.1173,True
>6.00,250,32.0,12.8,9.21,17.51,8.344,0.068,True
