bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.75–3.00,5,3.0,60.0,23.07,88.24,2.98,0.788,False
3.00–3.25,125,42.0,33.6,25.92,42.26,3.219,0.0817,True
3.25–3.50,925,260.0,28.11,25.31,31.09,3.424,-0.0376,True
3.50–4.00,1037,259.0,24.98,22.44,27.7,3.762,-0.0604,True
4.00–5.00,464,88.0,18.97,15.66,22.78,4.491,-0.1483,True
5.00–6.00,116,11.0,9.48,5.38,16.19,5.584,-0.4705,True
>6.00,59,9.0,15.25,8.24,26.52,7.136,0.0885,True
