bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.50–2.75,2,0.0,0.0,0.0,65.76,2.7,-1.0,False
2.75–3.00,278,90.0,32.37,27.15,38.08,2.985,-0.0335,True
3.00–3.25,946,291.0,30.76,27.9,33.77,3.166,-0.0261,True
3.25–3.50,584,166.0,28.42,24.92,32.21,3.382,-0.0386,True
3.50–4.00,381,77.0,20.21,16.48,24.53,3.779,-0.2363,True
4.00–5.00,387,65.0,16.8,13.4,20.84,4.598,-0.2277,True
5.00–6.00,194,18.0,9.28,5.95,14.19,5.601,-0.4804,True
>6.00,286,23.0,8.04,5.42,11.78,7.463,-0.3998,True
