bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.25–2.50,1,1.0,100.0,20.65,100.0,2.4,1.4,False
2.50–2.75,3,1.0,33.33,6.15,79.23,2.733,-0.0889,False
2.75–3.00,87,31.0,35.63,26.37,46.11,2.977,0.0609,True
3.00–3.25,512,167.0,32.62,28.7,36.79,3.188,0.0399,True
3.25–3.50,1067,310.0,29.05,26.41,31.85,3.403,-0.0113,True
3.50–4.00,1020,264.0,25.88,23.29,28.66,3.771,-0.0239,True
4.00–5.00,667,132.0,19.79,16.94,22.98,4.535,-0.1026,True
5.00–6.00,250,40.0,16.0,11.98,21.05,5.596,-0.1046,True
>6.00,190,19.0,10.0,6.5,15.09,7.384,-0.2616,True
