bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
≤2.25,1,0.0,0.0,0.0,79.35,1.7,-1.0,False
2.75–3.00,22,6.0,27.27,13.15,48.15,2.985,-0.1858,False
3.00–3.25,434,131.0,30.18,26.05,34.66,3.201,-0.0337,True
3.25–3.50,1266,357.0,28.2,25.79,30.74,3.409,-0.0388,True
3.50–4.00,1085,301.0,27.74,25.16,30.48,3.748,0.0396,True
4.00–5.00,222,38.0,17.12,12.73,22.62,4.432,-0.2414,True
5.00–6.00,24,3.0,12.5,4.34,31.0,5.5,-0.3125,False
>6.00,3,0.0,0.0,0.0,56.15,7.333,-1.0,False
