bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,127,23.0,18.11,12.38,25.71,1.321,5.143,-0.0685,True
1.40–1.60,353,78.0,22.1,18.08,26.71,1.524,4.247,-0.0617,True
1.60–1.80,614,152.0,24.76,21.51,28.32,1.709,3.828,-0.0524,True
1.80–2.00,698,194.0,27.79,24.6,31.23,1.921,3.59,-0.0022,True
2.00–2.25,813,231.0,28.41,25.42,31.61,2.152,3.465,-0.0155,True
2.25–2.50,714,198.0,27.73,24.57,31.13,2.397,3.408,-0.0548,True
2.50–3.00,1012,257.0,25.4,22.81,28.17,2.767,3.385,-0.1405,True
3.00–4.00,718,181.0,25.21,22.17,28.51,3.481,3.471,-0.1251,True
4.00–5.00,212,44.0,20.75,15.84,26.71,4.512,3.721,-0.2277,True
>5.00,105,26.0,24.76,17.49,33.81,6.071,4.055,0.004,True
