bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.75–3.00,14,5.0,35.71,16.34,61.24,2.979,0.0638,False
3.00–3.25,402,119.0,29.6,25.35,34.24,3.211,-0.0493,True
3.25–3.50,2587,689.0,26.63,24.97,28.37,3.417,-0.0898,True
3.50–4.00,1890,463.0,24.5,22.61,26.49,3.734,-0.0854,True
4.00–5.00,420,97.0,23.1,19.32,27.36,4.426,0.0222,True
5.00–6.00,43,11.0,25.58,14.93,40.24,5.5,0.407,True
>6.00,10,0.0,0.0,0.0,27.75,6.575,-1.0,False
