bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,203,37.0,18.23,13.52,24.11,1.306,5.623,0.0249,True
1.40–1.60,362,65.0,17.96,14.34,22.24,1.527,4.238,-0.239,True
1.60–1.80,600,139.0,23.17,19.97,26.71,1.713,3.801,-0.1195,True
1.80–2.00,679,196.0,28.87,25.58,32.39,1.919,3.54,0.0219,True
2.00–2.25,854,239.0,27.99,25.08,31.09,2.147,3.392,-0.0506,True
2.25–2.50,740,218.0,29.46,26.29,32.84,2.401,3.332,-0.0184,True
2.50–3.00,905,267.0,29.5,26.62,32.56,2.763,3.311,-0.0231,True
3.00–4.00,681,173.0,25.4,22.28,28.81,3.466,3.415,-0.1325,True
4.00–5.00,187,45.0,24.06,18.5,30.67,4.54,3.673,-0.1161,True
>5.00,137,32.0,23.36,17.06,31.11,6.557,4.346,0.0152,True
