bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.50–2.75,7,0.0,0.0,0.0,35.43,2.733,-1.0,False
2.75–3.00,274,102.0,37.23,31.72,43.09,2.962,0.1028,True
3.00–3.25,757,234.0,30.91,27.72,34.29,3.175,-0.0187,True
3.25–3.50,1027,294.0,28.63,25.95,31.47,3.392,-0.0289,True
3.50–4.00,818,215.0,26.28,23.38,29.41,3.778,-0.0069,True
4.00–5.00,486,93.0,19.14,15.89,22.87,4.49,-0.1409,True
5.00–6.00,181,28.0,15.47,10.92,21.45,5.611,-0.1319,True
>6.00,250,29.0,11.6,8.2,16.16,8.624,0.0004,True
