bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,469,61.0,13.01,10.26,16.35,1.252,6.827,-0.112,True
1.40–1.60,343,78.0,22.74,18.62,27.46,1.511,4.193,-0.0464,True
1.60–1.80,446,124.0,27.8,23.85,32.14,1.708,3.712,0.0321,True
1.80–2.00,393,105.0,26.72,22.58,31.3,1.925,3.425,-0.0849,True
2.00–2.25,440,129.0,29.32,25.26,33.74,2.146,3.287,-0.0363,True
2.25–2.50,368,115.0,31.25,26.73,36.16,2.401,3.2,-0.0,True
2.50–3.00,452,157.0,34.73,30.49,39.24,2.771,3.203,0.1126,True
3.00–4.00,439,123.0,28.02,24.02,32.4,3.476,3.318,-0.0704,True
4.00–5.00,172,44.0,25.58,19.64,32.59,4.623,3.704,-0.0524,True
>5.00,278,59.0,21.22,16.83,26.41,8.035,4.872,0.0341,True
