bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,361,50.0,13.85,10.67,17.8,1.275,6.383,-0.116,True
1.40–1.60,273,58.0,21.25,16.81,26.48,1.514,4.26,-0.0949,True
1.60–1.80,388,104.0,26.8,22.64,31.42,1.71,3.725,-0.0015,True
1.80–2.00,405,113.0,27.9,23.76,32.46,1.925,3.444,-0.0391,True
2.00–2.25,483,116.0,24.02,20.42,28.02,2.141,3.294,-0.2089,True
2.25–2.50,412,130.0,31.55,27.25,36.19,2.397,3.232,0.0197,True
2.50–3.00,416,141.0,33.89,29.51,38.57,2.758,3.221,0.0918,True
3.00–4.00,425,113.0,26.59,22.61,30.98,3.475,3.392,-0.0981,True
4.00–5.00,167,48.0,28.74,22.42,36.02,4.572,3.802,0.0929,True
>5.00,218,35.0,16.06,11.78,21.51,8.065,4.993,-0.1984,True
