bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
2.75–3.00,40,11.0,27.5,16.11,42.84,2.987,-0.1786,True
3.00–3.25,894,262.0,29.31,26.42,32.37,3.201,-0.0619,True
3.25–3.50,2407,677.0,28.13,26.37,29.96,3.4,-0.0436,True
3.50–4.00,1436,356.0,24.79,22.63,27.09,3.75,-0.0703,True
4.00–5.00,441,81.0,18.37,15.03,22.25,4.474,-0.1783,True
5.00–6.00,92,20.0,21.74,14.54,31.21,5.543,0.205,True
>6.00,38,4.0,10.53,4.17,24.13,7.717,-0.1877,True
